date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:22	28420/28420	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:20%20GMT	http://api.jquery.com/category/selectors/basic-css-selectors/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/basic-css-selectors/index.html	(from http://api.jquery.com/)
16:40:23	41115/41115	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:21%20GMT	http://api.jquery.com/andSelf/	/Users/benoit/websites/api.jquery.com/api.jquery.com/andSelf/index.html	(from http://api.jquery.com/)
16:40:24	41669/41669	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:22%20GMT	http://api.jquery.com/category/effects/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/effects/index.html	(from http://api.jquery.com/)
16:40:24	31837/31837	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:22%20GMT	http://api.jquery.com/category/effects/custom-effects/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/effects/custom-effects/index.html	(from http://api.jquery.com/)
16:40:25	88313/88313	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:23%20GMT	http://api.jquery.com/animate/	/Users/benoit/websites/api.jquery.com/api.jquery.com/animate/index.html	(from http://api.jquery.com/)
16:40:25	46551/46551	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:23%20GMT	http://api.jquery.com/category/selectors/jquery-selector-extensions/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/jquery-selector-extensions/index.html	(from http://api.jquery.com/)
16:40:26	35929/35929	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:24%20GMT	http://api.jquery.com/category/selectors/basic-filter-selectors/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/basic-filter-selectors/index.html	(from http://api.jquery.com/)
16:40:26	34631/34631	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:24%20GMT	http://api.jquery.com/animated-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/animated-selector/index.html	(from http://api.jquery.com/)
16:40:27	29046/29046	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:25%20GMT	http://api.jquery.com/category/manipulation/dom-insertion-inside/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/dom-insertion-inside/index.html	(from http://api.jquery.com/)
16:40:27	49278/49278	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:25%20GMT	http://api.jquery.com/append/	/Users/benoit/websites/api.jquery.com/api.jquery.com/append/index.html	(from http://api.jquery.com/)
16:40:27	139156/139156	---MC-	200	added ('OK')	text/xml	etag:%223ecce39b939ce09a44d441c426cf83f2%22	http://api.jquery.com/feed/	/Users/benoit/websites/api.jquery.com/api.jquery.com/feed/index.html	(from http://api.jquery.com/)
16:40:27	38515/38515	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:26%20GMT	http://api.jquery.com/appendTo/	/Users/benoit/websites/api.jquery.com/api.jquery.com/appendTo/index.html	(from http://api.jquery.com/)
